Time [s],Channel A [V],Channel B [V]
0.28125,0,0
0.281640625,-0.002481,0
0.28203125,-0.004962,0
0.282421875,-0.007443,-0.025
0.2828125,-0.007443,0
0.283203125,-0.007443,0
0.28359375,-0.009924,0
0.283984375,-0.014886,0
0.284375,-0.017367,0
0.284765625,-0.019848,0
0.28515625,-0.019848,-0.025
0.285546875,-0.02481,0
0.2859375,-0.027291,0.025
0.286328125,-0.032253,0
0.28671875,-0.037215,0
0.287109375,-0.042177,0
0.2875,-0.047139,0.025
0.287890625,-0.054582,0
0.28828125,-0.066987,0.025
0.288671875,-0.07443,0
0.2890625,-0.086835,0.025
0.289453125,-0.09924,0
0.28984375,-0.114126,0
0.290234375,-0.129012,-0.025
0.290625,-0.146379,-0.025
0.291015625,-0.163746,0
0.29140625,-0.178632,0
0.291796875,-0.200961,0.025
0.2921875,-0.213366,0
0.292578125,-0.22329,0
0.29296875,-0.22329,0
0.293359375,-0.208404,-0.025
0.29375,-0.181113,-0.025
0.294140625,-0.133974,-0.025
0.29453125,-0.071949,0.025
0.294921875,-0.002481,-0.025
0.2953125,0.069468,0.025
0.295703125,0.136455,-0.025
0.29609375,0.183594,0
0.296484375,0.215847,0.025
0.296875,0.235695,0
0.297265625,0.235695,0
0.29765625,0.230733,-0.025
0.298046875,0.218328,-0.025
0.2984375,0.203442,0.025
0.298828125,0.183594,0
0.29921875,0.163746,-0.025
0.299609375,0.14886,0
0.3,0.133974,0
0.300390625,0.116607,0
0.30078125,0.104202,-0.025
0.301171875,0.096759,0
0.3015625,0.089316,0
0.301953125,0.081873,-0.025
0.30234375,0.069468,-0.025
0.302734375,0.069468,0
0.303125,0.059544,0.05
0.303515625,0.054582,-0.025
0.30390625,0.047139,0.025
0.304296875,0.039696,0
0.3046875,0.037215,0
0.305078125,0.032253,0.025
0.30546875,0.027291,0
0.305859375,0.027291,0
0.30625,0.02481,-0.025
0.306640625,0.022329,0
0.30703125,0.019848,0
0.307421875,0.019848,0
0.3078125,0.014886,0
0.308203125,0.017367,0
0.30859375,0.014886,0
0.308984375,0.014886,-0.025
0.309375,0.014886,0
0.309765625,0.017367,0
0.31015625,0.014886,0
0.310546875,0.014886,-0.025
0.3109375,0.012405,0.025
0.311328125,0.012405,0.025
0.31171875,0.007443,0
0.312109375,0.009924,0
0.3125,0.012405,0
0.312890625,0.007443,0.025
0.31328125,0.009924,0
0.313671875,0.012405,0
0.3140625,0.007443,0
0.314453125,0.009924,0
0.31484375,0.007443,-0.025
0.315234375,0.009924,0
0.315625,0.009924,0
0.316015625,0.007443,0
0.31640625,0.007443,0
0.316796875,0.012405,-0.025
0.3171875,0.012405,0.025
0.317578125,0.007443,0.025
0.31796875,0.009924,0
0.318359375,0.004962,0
0.31875,0.009924,0
0.319140625,0.007443,0
0.31953125,0.007443,0.025
0.319921875,0.007443,0
0.3203125,0.009924,0
0.320703125,0.012405,-0.025
0.32109375,0.009924,-0.025
0.321484375,0.007443,0
0.321875,0.009924,0
0.322265625,0.007443,-0.025
0.32265625,0.009924,-0.025
0.323046875,0.007443,0
0.3234375,0.009924,0.025
0.323828125,0.004962,0
0.32421875,0.007443,0
0.324609375,0.007443,0
0.325,0.004962,0
0.325390625,0.007443,0
0.32578125,0.007443,0.025
0.326171875,0.007443,-0.025
0.3265625,0.009924,0
0.326953125,0.007443,0
0.32734375,0.007443,0
0.327734375,0.004962,0
0.328125,0.009924,0
0.328515625,0.009924,0
0.32890625,0.007443,0
0.329296875,0.007443,0
0.3296875,0.007443,0
0.330078125,0.004962,0
0.33046875,0.007443,-0.025
0.330859375,0.009924,-0.025
0.33125,0.007443,0.025
0.331640625,0.009924,-0.025
0.33203125,0.009924,0
0.332421875,0.007443,-0.025
0.3328125,0.007443,-0.025
0.333203125,0.007443,0.025
0.33359375,0.007443,0
0.333984375,0.007443,0.025
0.334375,0.004962,0
0.334765625,0.007443,0
0.33515625,0.007443,0
0.335546875,0.007443,0.025
0.3359375,0.009924,0.025
0.336328125,0.009924,0
0.33671875,0.007443,-0.025
0.337109375,0.007443,0
0.3375,0.007443,0.025
0.337890625,0.007443,0
0.33828125,0.004962,-0.025
0.338671875,0.007443,-0.025
0.3390625,0.009924,0
0.339453125,0.007443,0.025
0.33984375,0.009924,-0.025
0.340234375,0.007443,0.025
0.340625,0.007443,0
0.341015625,0.007443,0
0.34140625,0.007443,-0.025
0.341796875,0.004962,-0.025
0.3421875,0.007443,-0.025
0.342578125,0.007443,0
0.34296875,0.004962,-0.025
0.343359375,0.009924,-0.025
0.34375,0.004962,0
0.344140625,0.009924,0
0.34453125,0.007443,0
0.344921875,0.007443,0
0.3453125,0.004962,0
0.345703125,0.007443,0.025
0.34609375,0.007443,0
0.346484375,0.007443,0
0.346875,0.009924,0
0.347265625,0.009924,0
0.34765625,0.007443,-0.025
0.348046875,0.004962,-0.025
0.3484375,0.007443,0.025
0.348828125,0.007443,0
0.34921875,0.007443,0
0.349609375,0.007443,-0.025
0.35,0.007443,0
0.350390625,0.007443,0
0.35078125,0.007443,0
0.351171875,0.009924,0
0.3515625,0.004962,0
0.351953125,0.007443,0
0.35234375,0.004962,0
0.352734375,0.007443,0
0.353125,0.009924,0
0.353515625,0.007443,-0.025
0.35390625,0.007443,0
0.354296875,0.002481,0
0.3546875,0.007443,0
0.355078125,0.004962,0
0.35546875,0.004962,-0.025
0.355859375,0.007443,0
0.35625,0.007443,0
0.356640625,0.004962,-0.05
0.35703125,0.009924,0.025
0.357421875,0.007443,0
0.3578125,0.007443,0
0.358203125,0.007443,-0.025
0.35859375,0.007443,0
0.358984375,0.007443,0
0.359375,0.009924,-0.025
0.359765625,0.004962,0.025
0.36015625,0.009924,0
0.360546875,0.007443,0
0.3609375,0.007443,0
0.361328125,0.004962,0
0.36171875,0.007443,0
0.362109375,0.004962,-0.025
0.3625,0.009924,0
0.362890625,0.007443,0
0.36328125,0.007443,0
0.363671875,0.007443,0
0.3640625,0.007443,-0.025
0.364453125,0.007443,0
0.36484375,0.007443,0
0.365234375,0.004962,-0.025
0.365625,0.009924,0
0.366015625,0.007443,0.025
0.36640625,0.007443,0
0.366796875,0.007443,0
0.3671875,0.007443,0
0.367578125,0.007443,-0.025
0.36796875,0.007443,-0.025
0.368359375,0.007443,0
0.36875,0.007443,0
0.369140625,0.007443,0
0.36953125,0.007443,-0.025
0.369921875,0.009924,-0.025
0.3703125,0.007443,0
0.370703125,0.007443,0
0.37109375,0.009924,0
0.371484375,0.009924,0.025
0.371875,0.007443,0
0.372265625,0.007443,0
0.37265625,0.007443,0
0.373046875,0.009924,0
0.3734375,0.009924,-0.025
0.373828125,0.007443,0
0.37421875,0.004962,-0.025
0.374609375,0.007443,-0.025
0.375,0.009924,0.025
0.375390625,0.004962,-0.025
0.37578125,0.007443,0
0.376171875,0.007443,0
0.3765625,0.007443,0
0.376953125,0.007443,0
0.37734375,0.007443,0
0.377734375,0.007443,0.025
0.378125,0.007443,-0.025
0.378515625,0.007443,0
0.37890625,0.007443,-0.025
0.379296875,0.007443,-0.025
0.3796875,0.004962,-0.025
0.380078125,0.009924,-0.025
0.38046875,0.007443,0
0.380859375,0.007443,0
0.38125,0.007443,0
0.381640625,0.009924,0
0.38203125,0.004962,0.025
0.382421875,0.004962,-0.025
0.3828125,0.007443,-0.025
0.383203125,0.007443,0
0.38359375,0.007443,0
0.383984375,0.007443,-0.025
0.384375,0.009924,0.025
0.384765625,0.007443,-0.025
